read,domain,e-value
M00595:42:000000000-A5J1T:1:1114:17367:12235;sample=PMRS0065.MID04-06.P2.apr13;size=1;,DBLa0.19,1e-59
M00595:42:000000000-A5J1T:1:2113:21820:11041;sample=PMRS0178.MID14-15.P1.apr13;size=1;,DBLa0.1,1.4e-51
M00595:42:000000000-A5J1T:1:2110:18819:11266;sample=PMRS0254.MID20-21.P1.apr13;size=6;,DBLa0.23,2e-43
M00595:42:000000000-A5J1T:1:1112:11728:13104;sample=PMRS0079.MID05-07.P2.apr13;size=2;,DBLa0.11,4.5e-53
M00595:42:000000000-A5J1T:1:2116:12965:12117;sample=PMRS0541.MID34-36.P2.apr13;size=1;,DBLa0.1,4.5e-59
M00595:42:000000000-A5J1T:1:2111:7563:5150;sample=PMRS0465.MID31-31.P2.apr13;size=2;,DBLa0.13,8.1e-54
M00595:42:000000000-A5J1T:1:2105:24433:22354;sample=PMRS0240.MID19-21.P1.apr13;size=1;,DBLa0.8,6e-52
M00595:42:000000000-A5J1T:1:2104:4118:9496;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.14,2.9e-59
M00595:42:000000000-A5J1T:1:1115:15105:10468;sample=PMRS0222.MID18-18.P1.apr13;size=1;,DBLa0.8,9.1e-55
M00595:42:000000000-A5J1T:1:1111:17994:11846;sample=PMRS0394.MID26-28.P2.apr13;size=1;,DBLa0.21,2.2e-61
M00595:42:000000000-A5J1T:1:1113:8932:6887;sample=PMRS0379.MID25-27.P2.apr13;size=2;,DBLa0.4,6.6e-53
M00595:42:000000000-A5J1T:1:2111:11654:8369;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.1,2.5e-57
M00595:42:000000000-A5J1T:1:2106:10473:2976;sample=PMRS0236.MID19-19.P2.apr13;size=1;,DBLa1.7,1.8e-57
M00595:42:000000000-A5J1T:1:1114:15458:22566;sample=PMRS0512.MID34-34.P1.apr13;size=1;,DBLa0.1,2.3e-59
M00595:42:000000000-A5J1T:1:1102:13291:18910;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.1,5.1e-55
M00595:42:000000000-A5J1T:1:2104:8771:13484;sample=PMRS0488.MID32-34.P1.apr13;size=1;,DBLa0.1,9.6e-59
M00595:42:000000000-A5J1T:1:1116:16494:18839;sample=PMRS0465.MID31-31.P2.apr13;size=1;,DBLa1.7,1.2e-53
M00595:42:000000000-A5J1T:1:1110:23764:7393;sample=PMRS0184.MID15-16.P2.apr13;size=2;,DBLa0.18,5.8e-49
M00595:42:000000000-A5J1T:1:2115:16459:13908;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.1,2.4e-54
M00595:42:000000000-A5J1T:1:1115:23920:17984;sample=PMRS0113.MID08-11.P1.apr13;size=1;,DBLa0.1,2e-59
M00595:42:000000000-A5J1T:1:1116:13841:5710;sample=PMRS0431.MID29-29.P2.apr13;size=2;,DBLa1.8,5.2e-56
M00595:42:000000000-A5J1T:1:2110:19611:8402;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.24,4.5e-52
M00595:42:000000000-A5J1T:1:1115:20331:19437;sample=PMRS0318.MID23-24.P2.apr13;size=1;,DBLa0.1,4.9e-55
M00595:42:000000000-A5J1T:1:2108:19282:5375;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.8,6.5e-53
M00595:42:000000000-A5J1T:1:2103:18066:19319;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.1,4.3e-57
M00595:42:000000000-A5J1T:1:2103:17784:15597;sample=PMRS0135.MID10-13.P1.apr13;size=2;,DBLa0.1,1e-53
M00595:42:000000000-A5J1T:1:1113:23388:7899;sample=PMRS0081.MID06-06.P2.apr13;size=1;,DBLa0.1,2.4e-53
M00595:42:000000000-A5J1T:1:2118:7489:22167;sample=PMRS0354.MID24-26.P2.apr13;size=2;,DBLa0.8,1.6e-52
M00595:42:000000000-A5J1T:1:2118:6834:22514;sample=PMRS0181.MID15-15.P1.apr13;size=1;,DBLa0.12,1.5e-52
M00595:42:000000000-A5J1T:1:2103:5544:11888;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.12,9.9e-50
M00595:42:000000000-A5J1T:1:2103:22599:11081;sample=PMRS0541.MID34-36.P2.apr13;size=1;,DBLa0.16,1.6e-57
M00595:42:000000000-A5J1T:1:2118:13312:20825;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.15,1.3e-50
M00595:42:000000000-A5J1T:1:1118:18539:19198;sample=PMRS0521.MID34-34.P2.apr13;size=1;,DBLa0.1,3.1e-56
M00595:42:000000000-A5J1T:1:1105:20305:16340;sample=PMRS0138.MID10-13.P2.apr13;size=1;,DBLa0.1,6e-60
M00595:42:000000000-A5J1T:1:1106:23570:4491;sample=PMRS0118.MID10-10.P1.apr13;size=3;,DBLa0.3,7.3e-52
M00595:42:000000000-A5J1T:1:2115:22361:11668;sample=PMRS0442.MID30-30.P1.apr13;size=2;,DBLa0.3,1.8e-42
M00595:42:000000000-A5J1T:1:1117:17233:11946;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.12,1.6e-53
M00595:42:000000000-A5J1T:1:1112:17839:14714;sample=PMRS0394.MID26-28.P2.apr13;size=2;,DBLa0.20,2.1e-46
M00595:42:000000000-A5J1T:1:1107:15582:16814;sample=PMRS0004.MID01-02.P2.apr13;size=1;,DBLa0.8,1.6e-47
M00595:42:000000000-A5J1T:1:2111:6060:21426;sample=PMRS0135.MID10-13.P1.apr13;size=1;,DBLa0.22,6.7e-57
M00595:42:000000000-A5J1T:1:1101:16817:23118;sample=PMRS0346.MID24-25.P1.apr13;size=10;,DBLa0.3,2.2e-55
M00595:42:000000000-A5J1T:1:1116:11180:3664;sample=PMRS0081.MID06-06.P2.apr13;size=1;,DBLa0.15,7.2e-53
M00595:42:000000000-A5J1T:1:2114:14120:6907;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.22,1.4e-54
M00595:42:000000000-A5J1T:1:1113:21546:7271;sample=PMRS0323.MID23-25.P2.apr13;size=1;,DBLa0.8,1.4e-48
M00595:42:000000000-A5J1T:1:2119:19236:22762;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.5,2.2e-56
M00595:42:000000000-A5J1T:1:2119:18423:17670;sample=PMRS0037.MID03-04.P1.apr13;size=1;,DBLa0.1,5.3e-54
M00595:42:000000000-A5J1T:1:1110:10745:11855;sample=PMRS0431.MID29-29.P2.apr13;size=1;,DBLa0.1,3.5e-55
M00595:42:000000000-A5J1T:1:2119:12430:3770;sample=PMRS0223.MID18-18.P2.apr13;size=1;,DBLa0.8,3.8e-54
M00595:42:000000000-A5J1T:1:1119:20921:17104;sample=PMRS0493.MID33-33.P1.apr13;size=1;,DBLa0.9,1.6e-55
M00595:42:000000000-A5J1T:1:2109:10134:10753;sample=PMRS0009.MID02-02.P1.apr13;size=1;,DBLa0.19,1.1e-58
M00595:42:000000000-A5J1T:1:1118:14056:10093;sample=PMRS0404.MID27-28.P1.apr13;size=1;,DBLa0.24,3.4e-52
M00595:42:000000000-A5J1T:1:2109:14034:16796;sample=PMRS0389.MID26-27.P1.apr13;size=12;,DBLa0.15,1.8e-49
M00595:42:000000000-A5J1T:1:1105:23447:15464;sample=PMRS0184.MID15-16.P2.apr13;size=1;,DBLa0.8,5.3e-54
M00595:42:000000000-A5J1T:1:1101:7527:24139;sample=PMRS0194.MID16-16.P2.apr13;size=2;,DBLa0.11,4.5e-55
M00595:42:000000000-A5J1T:1:2115:14782:11691;sample=PMRS0506.MID33-35.P2.apr13;size=1;,DBLa0.11,1.9e-42
M00595:42:000000000-A5J1T:1:1104:14434:6515;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.5,2.1e-45
M00595:42:000000000-A5J1T:1:2103:14574:11053;sample=PMRS0497.MID33-33.P2.apr13;size=1;,DBLa0.22,1.5e-52
M00595:42:000000000-A5J1T:1:1107:14866:24040;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.1,1.9e-56
M00595:42:000000000-A5J1T:1:1107:24278:18457;sample=PMRS0208.MID16-19.P2.apr13;size=1;,DBLa0.1,5.6e-52
M00595:42:000000000-A5J1T:1:2117:10680:14858;sample=PMRS0301.MID22-24.P1.apr13;size=1;,DBLa0.19,1.4e-51
M00595:42:000000000-A5J1T:1:1103:14179:23517;sample=PMRS0206.MID16-18.P2.apr13;size=1;,DBLa0.23,2.8e-43
M00595:42:000000000-A5J1T:1:1103:24199:8092;sample=PMRS0476.MID31-33.P2.apr13;size=1;,DBLa0.23,8.8e-47
M00595:42:000000000-A5J1T:1:2118:18082:17348;sample=PMRS0182.MID15-15.P2.apr13;size=1;,DBLa0.7,1.9e-48
M00595:42:000000000-A5J1T:1:1118:10257:16986;sample=PMRS0377.MID25-26.P2.apr13;size=1;,DBLa0.2,2.4e-50
M00595:42:000000000-A5J1T:1:1111:17508:19278;sample=PMRS0230.MID18-20.P1.apr13;size=1;,DBLa0.19,1.9e-60
M00595:42:000000000-A5J1T:1:1102:22916:17222;sample=PMRS0438.MID29-31.P1.apr13;size=2;,DBLa0.1,1.1e-60
M00595:42:000000000-A5J1T:1:1118:20751:22383;sample=PMRS0118.MID10-10.P1.apr13;size=3;,DBLa0.9,4.3e-50
M00595:42:000000000-A5J1T:1:2106:17625:2326;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.3,3e-48
M00595:42:000000000-A5J1T:1:1116:8233:13434;sample=PMRS0092.MID07-07.P1.apr13;size=1;,DBLa0.8,2.2e-57
M00595:42:000000000-A5J1T:1:1118:11878:8354;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.21,4.4e-58
M00595:42:000000000-A5J1T:1:2110:16658:10588;sample=PMRS0045.MID03-05.P2.apr13;size=1;,DBLa0.1,2.5e-58
M00595:42:000000000-A5J1T:1:1116:16040:8035;sample=PMRS0267.MID21-21.P2.apr13;size=1;,DBLa0.1,1.3e-52
M00595:42:000000000-A5J1T:1:1109:9136:18869;sample=PMRS0081.MID06-06.P2.apr13;size=1;,DBLa0.5,1.4e-56
M00595:42:000000000-A5J1T:1:2119:17093:7701;sample=PMRS0421.MID28-28.P1.apr13;size=1;,DBLa0.1,5.7e-55
M00595:42:000000000-A5J1T:1:1112:15786:13717;sample=PMRS0480.MID32-32.P1.apr13;size=2;,DBLa0.8,2.9e-52
M00595:42:000000000-A5J1T:1:1112:16857:9240;sample=PMRS0110.MID08-10.P2.apr13;size=1;,DBLa0.1,1.6e-56
M00595:42:000000000-A5J1T:1:1119:24307:10357;sample=PMRS0254.MID20-21.P1.apr13;size=2;,DBLa0.12,5.9e-52
M00595:42:000000000-A5J1T:1:1119:18793:23676;sample=PMRS0346.MID24-25.P1.apr13;size=4;,DBLa1.8,1.4e-54
M00595:42:000000000-A5J1T:1:1111:17335:10992;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.5,4.3e-57
M00595:42:000000000-A5J1T:1:1103:13911:15230;sample=PMRS0065.MID04-06.P2.apr13;size=1;,DBLa0.1,5.3e-53
M00595:42:000000000-A5J1T:1:2117:22655:8936;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.11,2.2e-55
M00595:42:000000000-A5J1T:1:1104:19255:24288;sample=PMRS0079.MID05-07.P2.apr13;size=1;,DBLa0.15,2.2e-54
M00595:42:000000000-A5J1T:1:2106:18994:5634;sample=PMRS0497.MID33-33.P2.apr13;size=3;,DBLa0.3,1.2e-45
M00595:42:000000000-A5J1T:1:1108:7676:11035;sample=PMRS0255.MID20-21.P2.apr13;size=1;,DBLa0.1,1.1e-57
M00595:42:000000000-A5J1T:1:2118:10261:5876;sample=PMRS0040.MID03-04.P2.apr13;size=3;,DBLa0.23,2.3e-45
M00595:42:000000000-A5J1T:1:2106:11822:8764;sample=PMRS0231.MID18-20.P2.apr13;size=1;,DBLa0.21,2.4e-54
M00595:42:000000000-A5J1T:1:2109:11059:12205;sample=PMRS0357.MID25-25.P1.apr13;size=1;,DBLa0.22,4.4e-54
M00595:42:000000000-A5J1T:1:2108:12193:20980;sample=PMRS0118.MID10-10.P1.apr13;size=1;,DBLa0.1,2.2e-58
M00595:42:000000000-A5J1T:1:1117:17946:21652;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.23,5.9e-49
M00595:42:000000000-A5J1T:1:1103:18107:21689;sample=PMRS0079.MID05-07.P2.apr13;size=1;,DBLa0.12,1.5e-50
M00595:42:000000000-A5J1T:1:1107:18005:21011;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.8,6.6e-48
M00595:42:000000000-A5J1T:1:2101:25321:12477;sample=PMRS0426.MID28-29.P2.apr13;size=1;,DBLa1.2,2e-49
M00595:42:000000000-A5J1T:1:1113:10824:12851;sample=PMRS0389.MID26-27.P1.apr13;size=1;,DBLa0.10,4.3e-52
M00595:42:000000000-A5J1T:1:1114:10325:16944;sample=PMRS0009.MID02-02.P1.apr13;size=1;,DBLa0.11,2.6e-53
M00595:42:000000000-A5J1T:1:1115:24901:11732;sample=PMRS0065.MID04-06.P2.apr13;size=1;,DBLa0.11,1.7e-58
M00595:42:000000000-A5J1T:1:2118:10049:14411;sample=PMRS0307.MID23-24.P1.apr13;size=1;,DBLa0.5,2.2e-49
M00595:42:000000000-A5J1T:1:1112:12684:12255;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.17,1e-52
M00595:42:000000000-A5J1T:1:1119:16747:6976;sample=PMRS0045.MID03-05.P2.apr13;size=1;,DBLa0.6,6.2e-41
M00595:42:000000000-A5J1T:1:2105:11605:6737;sample=PMRS0084.MID06-07.P1.apr13;size=2;,DBLa0.8,1.8e-54
M00595:42:000000000-A5J1T:1:1105:10925:22295;sample=PMRS0393.MID26-28.P1.apr13;size=2;,DBLa0.1,2.2e-61
M00595:42:000000000-A5J1T:1:1116:3203:7694;sample=PMRS0236.MID19-19.P2.apr13;size=1;,DBLa0.24,1.4e-47
M00595:42:000000000-A5J1T:1:2117:18074:7589;sample=PMRS0373.MID25-26.P1.apr13;size=2;,DBLa0.8,7.7e-54
M00595:42:000000000-A5J1T:1:1101:15060:22158;sample=PMRS0403.MID27-27.P2.apr13;size=5;,DBLa0.3,1.8e-46
M00595:42:000000000-A5J1T:1:1101:14064:3925;sample=PMRS0181.MID15-15.P1.apr13;size=2;,DBLa0.9,2.8e-49
M00595:42:000000000-A5J1T:1:2109:13316:9169;sample=PMRS0065.MID04-06.P2.apr13;size=1;,DBLa0.1,1.4e-57
M00595:42:000000000-A5J1T:1:1112:25300:14850;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.11,2.7e-55
M00595:42:000000000-A5J1T:1:2104:5360:9382;sample=PMRS0386.MID26-26.P2.apr13;size=1;,DBLa0.3,4e-45
M00595:42:000000000-A5J1T:1:1112:10240:11773;sample=PMRS0258.MID20-22.P1.apr13;size=4;,DBLa0.3,3.9e-49
M00595:42:000000000-A5J1T:1:2112:6643:19472;sample=PMRS0345.MID24-24.P2.apr13;size=1;,DBLa0.1,1.6e-56
M00595:42:000000000-A5J1T:1:2104:21970:10100;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.1,3.5e-56
M00595:42:000000000-A5J1T:1:2119:10864:10351;sample=PMRS0389.MID26-27.P1.apr13;size=2;,DBLa0.9,8.2e-54
M00595:42:000000000-A5J1T:1:2111:14108:19773;sample=PMRS0384.MID26-26.P1.apr13;size=1;,DBLa0.9,1.4e-51
M00595:42:000000000-A5J1T:1:1119:5900:14170;sample=PMRS0002.MID01-01.P1.apr13;size=3;,DBLa0.1,4.5e-55
M00595:42:000000000-A5J1T:1:1114:23149:18949;sample=PMRS0469.MID31-32.P1.apr13;size=1;,DBLa0.23,1.4e-42
M00595:42:000000000-A5J1T:1:2105:7980:18259;sample=PMRS0184.MID15-16.P2.apr13;size=1;,DBLa0.8,1.1e-54
M00595:42:000000000-A5J1T:1:2103:14121:20826;sample=PMRS0521.MID34-34.P2.apr13;size=1;,DBLa0.11,2e-55
M00595:42:000000000-A5J1T:1:2108:5913:8170;sample=PMRS0279.MID21-22.P2.apr13;size=1;,DBLa0.1,1.6e-56
M00595:42:000000000-A5J1T:1:2116:25707:19867;sample=PMRS0163.MID13-15.P1.apr13;size=1;,DBLa0.12,1.6e-45
M00595:42:000000000-A5J1T:1:2119:14474:5563;sample=PMRS0544.MID35-35.P1.apr13;size=1;,DBLa0.9,1e-50
M00595:42:000000000-A5J1T:1:2101:18049:20780;sample=PMRS0182.MID15-15.P2.apr13;size=1;,DBLa2,1.9e-47
M00595:42:000000000-A5J1T:1:1117:7642:21976;sample=PMRS0506.MID33-35.P2.apr13;size=2;,DBLa0.1,1.8e-54
M00595:42:000000000-A5J1T:1:2110:8231:13211;sample=PMRS0476.MID31-33.P2.apr13;size=1;,DBLa0.22,1.5e-50
M00595:42:000000000-A5J1T:1:1114:11623:16007;sample=PMRS0138.MID10-13.P2.apr13;size=1;,DBLa0.1,4e-54
M00595:42:000000000-A5J1T:1:1114:6068:4878;sample=PMRS0051.MID04-05.P1.apr13;size=1;,DBLa0.1,8e-55
M00595:42:000000000-A5J1T:1:2104:23327:20642;sample=PMRS0081.MID06-06.P2.apr13;size=1;,DBLa0.15,1.9e-51
M00595:42:000000000-A5J1T:1:2110:20514:17009;sample=PMRS0486.MID32-33.P2.apr13;size=1;,DBLa0.11,1.2e-52
M00595:42:000000000-A5J1T:1:2117:25698:14258;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.1,1.5e-51
M00595:42:000000000-A5J1T:1:2119:23421:20421;sample=PMRS0066.MID05-05.P1.apr13;size=2;,DBLa0.1,1e-54
M00595:42:000000000-A5J1T:1:1105:20164:15544;sample=PMRS0034.MID03-03.P2.apr13;size=1;,DBLa0.19,2.1e-59
M00595:42:000000000-A5J1T:1:1110:8600:22934;sample=PMRS0081.MID06-06.P2.apr13;size=2;,DBLa0.8,2.2e-53
M00595:42:000000000-A5J1T:1:1101:13321:15645;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.5,6.6e-57
M00595:42:000000000-A5J1T:1:2103:24415:3294;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.22,2.9e-57
M00595:42:000000000-A5J1T:1:1112:21307:12291;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.5,2.1e-44
M00595:42:000000000-A5J1T:1:1111:24802:9669;sample=PMRS0497.MID33-33.P2.apr13;size=1;,DBLa0.23,5.1e-48
M00595:42:000000000-A5J1T:1:1114:9951:18888;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.1,2.9e-58
M00595:42:000000000-A5J1T:1:1119:17235:15383;sample=PMRS0488.MID32-34.P1.apr13;size=1;,DBLa0.9,4.9e-49
M00595:42:000000000-A5J1T:1:1103:12793:23489;sample=PMRS0194.MID16-16.P2.apr13;size=2;,DBLa0.5,7.1e-61
M00595:42:000000000-A5J1T:1:1109:7216:14287;sample=PMRS0100.MID07-08.P2.apr13;size=1;,DBLa0.6,4.7e-48
M00595:42:000000000-A5J1T:1:2113:8250:15577;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.4,9.8e-52
M00595:42:000000000-A5J1T:1:1114:20391:2659;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa0.15,1.8e-53
M00595:42:000000000-A5J1T:1:1113:19421:11813;sample=PMRS0161.MID13-14.P2.apr13;size=1;,DBLa0.11,9e-61
M00595:42:000000000-A5J1T:1:1104:12514:19344;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.1,8.1e-56
M00595:42:000000000-A5J1T:1:1114:17716:3777;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa0.8,1.4e-52
M00595:42:000000000-A5J1T:1:1109:2857:17454;sample=PMRS0430.MID29-29.P1.apr13;size=1;,DBLa0.4,1.4e-56
M00595:42:000000000-A5J1T:1:1108:11289:8400;sample=PMRS0427.MID28-30.P1.apr13;size=6;,DBLa0.18,1.5e-46
M00595:42:000000000-A5J1T:1:1107:8932:20418;sample=PMRS0100.MID07-08.P2.apr13;size=1;,DBLa0.1,1.4e-52
M00595:42:000000000-A5J1T:1:1115:19159:23165;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa1.8,1.5e-56
M00595:42:000000000-A5J1T:1:2104:20176:5568;sample=PMRS0345.MID24-24.P2.apr13;size=2;,DBLa0.4,4.2e-50
M00595:42:000000000-A5J1T:1:2106:26380:12040;sample=PMRS0181.MID15-15.P1.apr13;size=1;,DBLa0.1,8.8e-55
M00595:42:000000000-A5J1T:1:1117:7380:6164;sample=PMRS0098.MID07-08.P1.apr13;size=68;,DBLa1.4,1e-52
M00595:42:000000000-A5J1T:1:2101:26579:15081;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.22,1.3e-55
M00595:42:000000000-A5J1T:1:2104:10745:17606;sample=PMRS0050.MID04-04.P2.apr13;size=1;,DBLa0.8,2.2e-51
M00595:42:000000000-A5J1T:1:1119:13736:6546;sample=PMRS0079.MID05-07.P2.apr13;size=1;,DBLa0.5,2.1e-56
M00595:42:000000000-A5J1T:1:2105:18860:19548;sample=PMRS0480.MID32-32.P1.apr13;size=1;,DBLa0.7,5.2e-36
M00595:42:000000000-A5J1T:1:1101:16512:18867;sample=PMRS0064.MID04-06.P1.apr13;size=1;,DBLa0.8,9.6e-52
M00595:42:000000000-A5J1T:1:1111:12663:19300;sample=PMRS0294.MID22-23.P1.apr13;size=2;,DBLa0.15,3.2e-54
M00595:42:000000000-A5J1T:1:2108:7508:19304;sample=PMRS0457.MID31-31.P1.apr13;size=1;,DBLa0.8,1.1e-51
M00595:42:000000000-A5J1T:1:1105:14565:4692;sample=PMRS0118.MID10-10.P1.apr13;size=3;,DBLa0.11,1.1e-59
M00595:42:000000000-A5J1T:1:2104:21590:9999;sample=PMRS0345.MID24-24.P2.apr13;size=7;,DBLa1.8,8e-56
M00595:42:000000000-A5J1T:1:2112:24875:23624;sample=PMRS0412.MID27-29.P2.apr13;size=1;,DBLa0.5,3.1e-59
M00595:42:000000000-A5J1T:1:1106:2906:16260;sample=PMRS0379.MID25-27.P2.apr13;size=1;,DBLa0.9,3.2e-55
M00595:42:000000000-A5J1T:1:2112:29188:15220;sample=PMRS0403.MID27-27.P2.apr13;size=1;,DBLa0.1,7.8e-58
M00595:42:000000000-A5J1T:1:1110:22299:23355;sample=PMRS0352.MID24-26.P1.apr13;size=3;,DBLa0.11,4.5e-56
M00595:42:000000000-A5J1T:1:2114:13333:7308;sample=PMRS0206.MID16-18.P2.apr13;size=2;,DBLa0.5,2.6e-54
M00595:42:000000000-A5J1T:1:2114:26864:17081;sample=PMRS0180.MID14-16.P2.apr13;size=1;,DBLa0.1,1.5e-54
M00595:42:000000000-A5J1T:1:2114:23185:14622;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.4,8.9e-53
M00595:42:000000000-A5J1T:1:1118:17699:12933;sample=PMRS0395.MID27-27.P1.apr13;size=1;,DBLa1.1,1.4e-49
M00595:42:000000000-A5J1T:1:1104:12165:20186;sample=PMRS0497.MID33-33.P2.apr13;size=1;,DBLa0.23,1.1e-43
M00595:42:000000000-A5J1T:1:1109:17159:15472;sample=PMRS0493.MID33-33.P1.apr13;size=2;,DBLa0.6,1.2e-50
M00595:42:000000000-A5J1T:1:2117:25712:9293;sample=PMRS0345.MID24-24.P2.apr13;size=7;,DBLa0.1,3.3e-57
M00595:42:000000000-A5J1T:1:1103:16453:4245;sample=PMRS0429.MID28-30.P2.apr13;size=1;,DBLa1.8,4.3e-59
M00595:42:000000000-A5J1T:1:2104:27174:9876;sample=PMRS0540.MID34-36.P1.apr13;size=1;,DBLa0.5,9.2e-56
M00595:42:000000000-A5J1T:1:2114:18529:18285;sample=PMRS0169.MID14-14.P2.apr13;size=1;,DBLa0.8,4.6e-53
M00595:42:000000000-A5J1T:1:2108:16398:23884;sample=PMRS0457.MID31-31.P1.apr13;size=1;,DBLa0.1,3.3e-57
M00595:42:000000000-A5J1T:1:2118:17127:21127;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.11,4.5e-61
M00595:42:000000000-A5J1T:1:1116:20846:19590;sample=PMRS0378.MID25-27.P1.apr13;size=1;,DBLa0.9,7.7e-53
M00595:42:000000000-A5J1T:1:1111:14445:20106;sample=PMRS0436.MID29-30.P2.apr13;size=1;,DBLa0.9,4.2e-52
M00595:42:000000000-A5J1T:1:1114:21762:17497;sample=PMRS0118.MID10-10.P1.apr13;size=1;,DBLa0.8,2.6e-54
M00595:42:000000000-A5J1T:1:1102:25505:15415;sample=PMRS0393.MID26-28.P1.apr13;size=4;,DBLa1.2,8e-55
M00595:42:000000000-A5J1T:1:1116:7763:19086;sample=PMRS0118.MID10-10.P1.apr13;size=1;,DBLa0.5,1.3e-50
M00595:42:000000000-A5J1T:1:1117:15873:16566;sample=PMRS0430.MID29-29.P1.apr13;size=1;,DBLa0.11,8.4e-45
M00595:42:000000000-A5J1T:1:1119:15207:8875;sample=PMRS0081.MID06-06.P2.apr13;size=1;,DBLa0.8,4e-43
M00595:42:000000000-A5J1T:1:2106:13721:19457;sample=PMRS0258.MID20-22.P1.apr13;size=1;,DBLa0.1,2.1e-56
M00595:42:000000000-A5J1T:1:1105:21728:20960;sample=PMRS0486.MID32-33.P2.apr13;size=2;,DBLa0.1,2.5e-61
M00595:42:000000000-A5J1T:1:1109:23412:15848;sample=PMRS0206.MID16-18.P2.apr13;size=1;,DBLa0.23,1.6e-47
