"otu","num_isolates","domain","e-value","type"
"M00595:42:000000000-A5J1T:1:1101:15863:14926",2,"DBLa0.8",2e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1101:16017:11085",22,"DBLa0.20",3.2e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1101:16138:11621",9,"DBLa1.2",2.2e-52,"A"
"M00595:42:000000000-A5J1T:1:1101:16269:4830",6,"DBLa0.9",3.5e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1101:16412:11861",3,"DBLa0.9",1.7e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1101:16459:8058",6,"DBLa1.4",8.6e-47,"A"
"M00595:42:000000000-A5J1T:1:1101:16584:2695",3,"DBLa1.2",5.2e-52,"A"
"M00595:42:000000000-A5J1T:1:1101:16817:23118",10,"DBLa0.3",2.2e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1101:16874:14107",2,"DBLa0.16",2.5e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1101:17003:1353",5,"DBLa0.3",8.6e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:17104:1872",2,"DBLa0.1",1.5e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1101:17173:15486",4,"DBLa0.8",3.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1101:17413:20277",2,"DBLa0.22",1.4e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1101:17574:17404",3,"DBLa0.8",1.5e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:17662:8122",16,"DBLa1.7",1.4e-58,"A"
"M00595:42:000000000-A5J1T:1:1101:17676:15190",2,"DBLa0.2",1.5e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1101:17891:21250",7,"DBLa1.8",4e-55,"A"
"M00595:42:000000000-A5J1T:1:1101:18111:18212",3,"DBLa0.8",2.5e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:18357:11723",3,"DBLa0.9",1.6e-44,"B/C"
"M00595:42:000000000-A5J1T:1:1101:18471:12227",5,"DBLa0.9",2.5e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1101:18529:7790",3,"DBLa0.8",3.1e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1101:19000:11660",2,"DBLa0.8",1.5e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1101:19114:10827",2,"DBLa0.8",7.1e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1101:19144:11096",2,"DBLa0.9",2.4e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1101:19229:22265",2,"DBLa0.3",1.4e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1101:19293:19278",3,"DBLa0.21",4.9e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1101:19326:22697",2,"DBLa0.10",1.8e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1101:19472:20068",2,"DBLa0.19",8.5e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1101:19530:23419",5,"DBLa1.8",1.4e-55,"A"
"M00595:42:000000000-A5J1T:1:1101:19584:17686",3,"DBLa0.11",4.4e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1101:19754:12477",3,"DBLa0.1",4.7e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1101:20051:6636",2,"DBLa0.11",1.3e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1101:20257:7398",2,"DBLa0.11",4.4e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1101:20263:23405",4,"DBLa0.6",1.5e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1101:21099:8607",5,"DBLa1.8",1.1e-55,"A"
"M00595:42:000000000-A5J1T:1:1101:21252:22209",2,"DBLa0.11",6.9e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1101:21286:22687",2,"DBLa0.8",1e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1101:21341:11451",2,"DBLa1.8",2.6e-53,"A"
"M00595:42:000000000-A5J1T:1:1101:21401:17338",7,"DBLa0.3",2.1e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1101:21483:18849",2,"DBLa0.18",3.5e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1101:21763:17080",4,"DBLa0.8",2.1e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:21815:12827",5,"DBLa0.12",6.9e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:22096:11935",11,"DBLa2",3.1e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1101:22394:6319",2,"DBLa0.4",3.3e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1101:22424:8771",3,"DBLa0.12",4.3e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1101:22981:12149",2,"DBLa0.24",1.8e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:23123:16664",2,"DBLa0.12",5.5e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1101:23129:15646",4,"DBLa0.1",9.7e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1101:23404:9792",2,"DBLa0.15",1.2e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1101:23477:13141",3,"DBLa0.8",1.8e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1101:23522:15651",2,"DBLa0.1",3.5e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1101:23750:16164",2,"DBLa0.1",1.1e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1101:24003:10658",2,"DBLa0.8",2.8e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1101:24291:19558",2,"DBLa0.15",1.8e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1101:24316:14832",4,"DBLa0.8",2.1e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1101:25296:12719",15,"DBLa0.18",4.8e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1101:25862:10098",17,"DBLa0.8",2.4e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:25972:8410",8,"DBLa1.4",4.5e-45,"A"
"M00595:42:000000000-A5J1T:1:1101:26995:17778",3,"DBLa0.12",1.3e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1101:27761:11107",2,"DBLa0.1",7e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1101:27965:9461",6,"DBLa0.11",1.4e-61,"B/C"
"M00595:42:000000000-A5J1T:1:1101:2867:9673",6,"DBLa1.8",1.8e-52,"A"
"M00595:42:000000000-A5J1T:1:1101:4401:18500",2,"DBLa0.3",2.7e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1101:5898:13255",2,"DBLa0.17",5e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1101:6483:7745",8,"DBLa0.20",3.2e-61,"B/C"
"M00595:42:000000000-A5J1T:1:1101:6721:15153",2,"DBLa0.19",1.5e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1101:7035:16257",5,"DBLa0.6",6.8e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1101:7527:24139",2,"DBLa0.11",4.5e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1101:7603:22636",2,"DBLa0.8",6.2e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:7676:13330",3,"DBLa0.21",2e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:7969:14781",8,"DBLa1.8",3.9e-51,"A"
"M00595:42:000000000-A5J1T:1:1101:8037:8004",2,"DBLa0.11",7.8e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1101:8116:18124",2,"DBLa0.12",7.7e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1101:8201:15175",2,"DBLa0.23",5.7e-44,"B/C"
"M00595:42:000000000-A5J1T:1:1101:8365:15551",2,"DBLa0.3",6.7e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1101:9130:5038",3,"DBLa0.15",4.4e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1101:9155:22262",2,"DBLa0.1",2.8e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1101:9245:7876",2,"DBLa1.8",4.9e-57,"A"
"M00595:42:000000000-A5J1T:1:1101:9310:6271",4,"DBLa0.1",2.9e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1101:9356:20534",2,"DBLa0.22",8.6e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1101:9703:12770",6,"DBLa0.1",5.9e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1101:9824:10503",2,"DBLa1.1",2.3e-52,"A"
"M00595:42:000000000-A5J1T:1:1101:9847:2892",2,"DBLa0.8",2.9e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1102:10297:10129",2,"DBLa0.18",4.3e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1102:10318:10825",5,"DBLa0.23",4e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1102:10349:4318",2,"DBLa0.12",3.5e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1102:10652:16047",2,"DBLa0.17",3.6e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1102:10697:22139",4,"DBLa0.8",1.9e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1102:10720:14573",2,"DBLa0.18",3.1e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1102:10778:18725",2,"DBLa0.6",7.7e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1102:10801:17378",3,"DBLa0.1",1.8e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1102:10813:20880",3,"DBLa0.18",8.7e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1102:10841:3556",6,"DBLa0.23",3.7e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1102:10989:17952",4,"DBLa0.11",2.7e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1102:11188:6440",2,"DBLa1.8",1.6e-58,"A"
"M00595:42:000000000-A5J1T:1:1102:11230:18055",4,"DBLa0.19",7.1e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1102:11308:18814",2,"DBLa2",2.8e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1102:11356:10968",2,"DBLa0.5",5.7e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1102:11467:4916",2,"DBLa0.1",2.7e-61,"B/C"
"M00595:42:000000000-A5J1T:1:1102:11521:9075",4,"DBLa0.5",4.7e-61,"B/C"
"M00595:42:000000000-A5J1T:1:1102:11598:7506",3,"DBLa0.5",2.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1102:11658:16574",4,"DBLa0.18",1.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1102:11713:11722",3,"DBLa0.8",6.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1102:11754:11506",4,"DBLa0.3",1.6e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1102:11806:5997",2,"DBLa0.19",9.7e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1102:11820:7491",3,"DBLa0.9",1e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1102:11965:17049",3,"DBLa1.8",2.7e-55,"A"
"M00595:42:000000000-A5J1T:1:1102:12012:14703",4,"DBLa0.1",4.4e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1102:12100:18228",2,"DBLa0.12",1.6e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1102:12150:6829",2,"DBLa0.5",1.4e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1102:12387:13338",2,"DBLa0.12",4.4e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1102:12418:10729",2,"DBLa2",4e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1102:12436:20691",2,"DBLa0.9",1.8e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1102:12497:9619",2,"DBLa1.8",5.6e-56,"A"
"M00595:42:000000000-A5J1T:1:1102:12541:9609",2,"DBLa0.8",3.9e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1102:12585:10799",7,"DBLa1.8",1.3e-52,"A"
"M00595:42:000000000-A5J1T:1:1102:12618:9621",7,"DBLa0.19",8.7e-41,"B/C"
"M00595:42:000000000-A5J1T:1:1102:12716:9869",2,"DBLa0.24",9.6e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1102:12865:14196",3,"DBLa0.11",7.8e-63,"B/C"
"M00595:42:000000000-A5J1T:1:1102:12973:6520",2,"DBLa0.5",1.6e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1102:13036:23216",2,"DBLa0.5",1.5e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1102:13430:9997",5,"DBLa0.12",1.1e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1102:13471:23678",8,"DBLa1.8",2.4e-53,"A"
"M00595:42:000000000-A5J1T:1:1102:13501:16583",3,"DBLa0.17",6.3e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1102:13566:13431",2,"DBLa1.1",2.9e-51,"A"
"M00595:42:000000000-A5J1T:1:1102:13608:15088",4,"DBLa1.4",8.7e-53,"A"
"M00595:42:000000000-A5J1T:1:1102:13741:6595",3,"DBLa0.1",1.1e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1102:13863:14998",5,"DBLa1.8",2.3e-56,"A"
"M00595:42:000000000-A5J1T:1:1102:13932:7357",2,"DBLa0.1",8.6e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1102:13982:15611",2,"DBLa0.11",2.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1102:14202:23856",6,"DBLa1.8",9.6e-59,"A"
"M00595:42:000000000-A5J1T:1:1102:14251:14020",3,"DBLa0.1",1.3e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1102:14295:12809",2,"DBLa0.1",2.9e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1102:14350:11539",2,"DBLa0.19",6.2e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1102:14364:16589",2,"DBLa1.8",6.6e-56,"A"
"M00595:42:000000000-A5J1T:1:1102:14376:6083",10,"DBLa1.7",1.7e-52,"A"
"M00595:42:000000000-A5J1T:1:1102:14407:23799",2,"DBLa0.1",4.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1102:14414:18902",2,"DBLa0.9",8.9e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1102:14521:21812",2,"DBLa0.12",8.7e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1102:14682:19815",3,"DBLa0.19",2.5e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1102:14696:20172",2,"DBLa0.8",7.9e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1102:14754:21997",3,"DBLa0.10",7.7e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1102:14851:20898",2,"DBLa0.11",3.5e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1102:15347:6537",2,"DBLa1.4",3.2e-44,"A"
"M00595:42:000000000-A5J1T:1:1102:15487:15949",7,"DBLa0.1",9.8e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1102:15698:6971",4,"DBLa0.1",2.7e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1102:15878:16638",2,"DBLa0.15",1.6e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1102:15922:14316",2,"DBLa0.5",8.4e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16032:6769",2,"DBLa0.8",3.1e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16092:5331",2,"DBLa0.1",2.7e-44,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16138:10519",3,"DBLa2",2.5e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16191:10187",2,"DBLa0.8",2.1e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16300:7044",2,"DBLa0.9",7.9e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16353:21982",2,"DBLa0.5",1.6e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16354:8223",2,"DBLa0.9",9.5e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16393:14254",3,"DBLa0.18",4.7e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16395:3505",4,"DBLa0.5",1.2e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16406:9670",3,"DBLa1.8",8.8e-55,"A"
"M00595:42:000000000-A5J1T:1:1102:16493:13443",3,"DBLa0.20",1.7e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16667:13788",3,"DBLa0.12",5e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16672:18894",2,"DBLa0.1",1.7e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16790:8011",3,"DBLa0.5",4e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16908:10994",3,"DBLa0.12",2.7e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1102:16951:10718",2,"DBLa0.8",8e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17062:9419",2,"DBLa1.8",4.8e-58,"A"
"M00595:42:000000000-A5J1T:1:1102:17074:15507",2,"DBLa0.9",3.4e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17075:7223",3,"DBLa0.9",9.2e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17178:10596",3,"DBLa0.12",5.3e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17207:16167",8,"DBLa0.18",1.2e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17275:9923",2,"DBLa0.1",1.9e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17309:7056",2,"DBLa0.3",6.8e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17318:23296",2,"DBLa0.1",1.4e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17341:4532",2,"DBLa0.1",1.6e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17435:23203",2,"DBLa0.15",2.7e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17436:4193",2,"DBLa0.8",3.7e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17660:20101",5,"DBLa0.11",7.1e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17731:19053",2,"DBLa1.8",3.1e-56,"A"
"M00595:42:000000000-A5J1T:1:1102:17745:21824",3,"DBLa0.1",4.6e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17888:12985",4,"DBLa0.3",3.1e-60,"B/C"
"M00595:42:000000000-A5J1T:1:1102:17903:2925",3,"DBLa0.9",1.5e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1102:18078:9653",6,"DBLa0.1",2.2e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1102:18191:14934",2,"DBLa0.3",3.6e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1102:18298:14930",7,"DBLa0.1",2.2e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1102:18607:16148",2,"DBLa0.8",8.6e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1102:18700:15759",3,"DBLa0.8",7.4e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1102:18705:18149",2,"DBLa0.21",3.3e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1102:18755:16482",2,"DBLa1.2",4.3e-54,"A"
"M00595:42:000000000-A5J1T:1:1102:18778:8423",2,"DBLa0.1",1.4e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1102:18901:12225",2,"DBLa0.8",4.4e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1102:18931:21408",2,"DBLa0.5",1.9e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1102:18966:21252",2,"DBLa0.12",4.8e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1102:19192:13404",2,"DBLa1.1",1.7e-54,"A"
"M00595:42:000000000-A5J1T:1:1102:19449:19345",2,"DBLa1.2",1.7e-53,"A"
"M00595:42:000000000-A5J1T:1:1102:19489:22549",2,"DBLa0.5",1.7e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1102:19503:17155",3,"DBLa0.3",4.1e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1102:19531:3352",2,"DBLa0.1",2.6e-61,"B/C"
"M00595:42:000000000-A5J1T:1:1102:19693:2964",3,"DBLa0.1",1.8e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1102:19715:7645",2,"DBLa0.18",7.9e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1102:19737:19266",3,"DBLa0.3",5.2e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1102:20009:13295",2,"DBLa0.11",8e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1102:20025:13106",2,"DBLa0.9",5.6e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1102:20038:19103",3,"DBLa0.16",8e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1102:20088:9047",3,"DBLa0.8",5.6e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1102:20159:21165",2,"DBLa0.11",5.4e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1102:20183:23026",4,"DBLa2",3.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1102:20234:15531",2,"DBLa0.18",3.1e-41,"B/C"
"M00595:42:000000000-A5J1T:1:1102:20264:8137",4,"DBLa0.1",4.7e-43,"B/C"
"M00595:42:000000000-A5J1T:1:1102:20517:11336",2,"DBLa0.8",6.9e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1102:20600:11312",3,"DBLa0.18",5.9e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1102:20805:17365",2,"DBLa1.2",5.7e-55,"A"
"M00595:42:000000000-A5J1T:1:1102:20867:15251",8,"DBLa0.9",1.1e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1102:20944:22066",5,"DBLa0.15",8.7e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1102:21087:20586",2,"DBLa0.4",7.9e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1102:21143:14358",3,"DBLa0.21",2.9e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1102:21181:13136",2,"DBLa0.8",9.7e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1102:21433:11911",5,"DBLa1.2",1.6e-46,"A"
"M00595:42:000000000-A5J1T:1:1102:21470:24409",2,"DBLa0.8",1.4e-54,"B/C"
